index,link,name,user rating,Price (in Indian Rupees),Type,Dedicated Graphic Memory Capacity,Processor Brand,SSD,RAM (in GB),RAM Type,Expandable Memory,Operating System,Touchscreen,Screen Size (in inch),Weight (in kg),Refresh Rate,screen_resolution,company,Storage,Processor name,CPU_ranking,battery_backup,gpu name ,gpu_benchmark,ram_type_tokenized,gpu_processor tokenized
610,https://www.flipkart.com/asus-tuf-gaming-a15-ryzen-7-octa-core-4800h-8-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-rtx-3050-fa566ic-hn008t-laptop/p/itm2178c164422a7?pid=COMG666CFYXNGSKH&lid=LSTCOMG666CFYXNGSKHQ7E7MB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_611&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG666CFYXNGSKH.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"asus tuf gaming a15 ryzen 7 octa core 4800h - (8 gb/1 tb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3050) fa566ic-hn008t gaming laptop  (15.6 inch, eclipse gray, 2.30 kg)",4.7,91990,1,4,2,1,8,ddr4,0,1,0,15.6,2.3,60,1080,1,1000,amd ryzen 7 octa core,64,4,nvidia geforce rtx 3050,72.6,4,2
611,https://www.flipkart.com/asus-strix-g15-ryzen-7-octa-core-amd-ryzen-4800h-4th-gen-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-g513ih-hn084ts-gaming-laptop/p/itmca51a5b67d389?pid=COMG6HPZFYS9HVFF&lid=LSTCOMG6HPZFYS9HVFF4VQDLH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_612&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG6HPZFYS9HVFF.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"asus strix g15 ryzen 7 octa core amd ryzen™ 7 4800h 4th gen - (8 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650/144 hz) g513ih-hn084ts gaming laptop  (15.6 inch, black, 2.30 kg, with ms office)",4.7,76990,1,4,2,1,8,ddr4,1,1,0,15.6,2.3,1,1080,1,512,amd ryzen 7 octa core 4th gen,110,4,nvidia geforce gtx 1650,59.9,4,6
612,https://www.flipkart.com/acer-travelmate-core-i5-11th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-p214-53-thin-light-laptop/p/itm14c7c49a9b828?pid=COMG6YYJSHACWKDA&lid=LSTCOMG6YYJSHACWKDA5CQQN8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_613&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG6YYJSHACWKDA.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"acer travelmate core i5 11th gen - (16 gb/1 tb hdd/256 gb ssd/windows 10 home) travelmate p214-53 thin and light laptop  (14 inch, black, 1.68 kg)",3.4,62490,2,0,1,1,16,ddr4,1,1,0,14,1.68,60,1080,8,1256,intel core i5 11th gen,108,4.5,intel iris xe,17.5,4,8
613,https://www.flipkart.com/dell-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-inspiron-5410-2-in1-1-laptop/p/itm8552cdff981fc?pid=COMG666G4EZCC7HT&lid=LSTCOMG666G4EZCC7HTSVHIKO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_614&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG666G4EZCC7HT.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"dell core i3 11th gen - (8 gb/256 gb ssd/windows 10) inspiron 5410 2 in1 2 in 1 laptop  (14 inch, platinum silver, 1.56 kg, with ms office)",4.3,69990,3,0,1,1,8,ddr4,1,1,1,14,1.56,60,1080,4,256,intel core i3 11th gen,362,5,intel uhd,5.05,4,7
614,https://www.flipkart.com/asus-core-i3-10th-gen-4-gb-1-tb-hdd-windows-10-home-x409fa-bv301t-thin-light-laptop/p/itmb1cd5c69dec40?pid=COMG67CGUE5JGEY9&lid=LSTCOMG67CGUE5JGEY9SPULTD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_615&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG67CGUE5JGEY9.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"asus core i3 10th gen - (4 gb/1 tb hdd/windows 10 home) x409fa-bv301t thin and light laptop  (14 inch, slate grey, 1.60 kg)",3.7,35000,2,0,1,0,4,ddr4,0,1,0,14,1.6,60,720,1,1000,intel core i3 10th gen,540,4.5,intel hd 520,4.23,4,34
615,https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmd1871bfcde765?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_616&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG6AKVAHWTHAQG.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"lenovo ideapad 3 core i3 10th gen - (8 gb/256 gb ssd/windows 11 home) 15iml05 thin and light laptop  (15.6 inch, platinum grey, 1.7 kg, with ms office)",4.3,34990,2,0,1,1,8,ddr4,0,1,0,15.6,1.7,60,1080,3,256,intel core i3 10th gen,540,4.5,intel uhd,5.05,4,7
616,https://www.flipkart.com/lenovo-ideapad-3-chromebook-celeron-dual-core-4-gb-64-gb-emmc-storage-chrome-os-cb-11igl05/p/itmec579ace5d4f2?pid=COMG6AKVN3KXNVY2&lid=LSTCOMG6AKVN3KXNVY2LCOHHL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_617&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG6AKVN3KXNVY2.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"lenovo ideapad 3 chromebook celeron dual core - (4 gb/64 gb emmc storage/chrome os) cb 11igl05 chromebook  (11.6 inch, onyx black, 1.12 kg)",3.5,15990,4,0,1,0,4,lpddr4,0,2,0,11.6,1.12,60,720,3,64,intel celeron dual core,745,4.5,intel uhd,5.05,5,7
617,https://www.flipkart.com/asus-rog-strix-g15-ryzen-9-octa-core-amd-ryzen-5900h-processor-3-0-ghz-16m-cache-up-4-6-ghz-5th-gen-16-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-rtx-3050ti-300-hz-g513qe-hf146t-gaming-laptop/p/itm8146f09bf7c06?pid=COMG6E2GTUY3A9BZ&lid=LSTCOMG6E2GTUY3A9BZ9HH3OT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_618&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG6E2GTUY3A9BZ.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"asus rog strix g15 ryzen 9 octa core amd ryzen™ 9 5900h processor 3.0 ghz (16m cache, up to 4.6 ghz) 5th gen - (16 gb/1 tb ssd/windows 10 home/4 gb graphics/nvidia geforce rtx 3050ti/300 hz) g513qe-hf146t gaming laptop  (15.6 inch, electro punk, 2.30 kg)",,129990,1,4,2,1,16,ddr4,1,1,0,15.6,2.3,3,1080,1,1000,amd ryzen 9 octa core 5th gen,48,4,nvidia geforce rtx 3050 ti,59,4,10
618,https://www.flipkart.com/msi-modern-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-b10mw-639in-notebook/p/itm9771296f748c4?pid=COMG483F5X8GDQSP&lid=LSTCOMG483F5X8GDQSPM5QHSD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_619&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG483F5X8GDQSP.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"msi modern 14 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b10mw-639in notebook  (14 inch, carbon grey, 1.3 kg)",4.4,45990,2,0,1,1,8,ddr4,0,1,0,14,1.3,6,1080,5,512,intel core i5 10th gen,187,4.5,intel uhd,5.05,4,7
619,https://www.flipkart.com/msi-modern-14-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-b11mou-477in-notebook/p/itmd5982c52d0ebb?pid=COMG4J5GAFCYD4RP&lid=LSTCOMG4J5GAFCYD4RPF9IMAY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_26_620&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_8_L1_view-all&iid=8cffb17d-fed5-49fb-b613-2928f82b07cb.COMG4J5GAFCYD4RP.SEARCH&ssid=ap3nxilsofjaj3sw1653222410591,"msi modern 14 core i3 11th gen - (8 gb/512 gb ssd/windows 10 home) b11mou-477in notebook  (14 inch, carbon grey, 1.3 kg)",4.2,46490,2,0,1,1,8,ddr4,0,1,0,14,1.3,60,1080,5,512,intel core i3 11th gen,362,4.5,intel uhd,5.05,4,7
